Entity Name,Field Name,Type,Required,Description,Foreign Key
,,,,,
=== CORE TRACEABILITY ENTITIES ===,,,,,
,,,,,
TraceableUnit,traceableUnitId,string,YES,Unique identifier for the fundamental traceability unit,NO
TraceableUnit,uniqueIdentifier,string,YES,Business identifier (log number tag barcode QR code),NO
TraceableUnit,unitType,enum,YES,Type of traceable unit (individual_log pile volume_aggregation processed_batch),NO
TraceableUnit,totalVolumeM3,number,YES,Total volume in cubic meters,NO
TraceableUnit,productClassification,enum,NO,Product type (sawlog pulpwood biomass chips firewood veneer_log post_pole),NO
TraceableUnit,qualityGrade,enum,NO,Quality classification (Grade-A through Grade-D Premium Standard),NO
TraceableUnit,isMultiSpecies,boolean,YES,Whether unit contains multiple wood species,NO
TraceableUnit,identificationConfidence,number,NO,Confidence score for identification (0-100),NO
TraceableUnit,methodReadinessLevel,integer,NO,Technology Readiness Level for identification method (1-9),NO
TraceableUnit,secondaryIdentifiers,array,NO,Additional identification methods and values,NO
TraceableUnit,physicalArrangement,object,NO,Storage arrangement (type exposure ground contact),NO
TraceableUnit,alternativeFateMetrics,object,NO,Alternative baseline scenario metrics (decay rate carbon impact),NO
TraceableUnit,createdTimestamp,date-time,YES,When the traceable unit was first created,NO
TraceableUnit,currentStatus,enum,NO,Current state (active processed delivered consumed),NO
TraceableUnit,sustainabilityCertification,string,NO,Certification status or reference,NO
TraceableUnit,attachedInformation,array,NO,Additional metadata or documentation references,NO
TraceableUnit,lastUpdated,date-time,NO,Timestamp of last modification,NO
TraceableUnit,processingHistory,array,NO,Array of processing operation references,YES (ProcessingHistory)
TraceableUnit,parentTraceableUnitId,string,NO,Reference to parent unit for splits/transformations,YES (TraceableUnit)
TraceableUnit,childTraceableUnitIds,array,NO,References to child units created from splits,YES (TraceableUnit)
TraceableUnit,currentGeographicDataId,string,NO,Current location of the traceable unit,YES (GeographicData)
TraceableUnit,harvestGeographicDataId,string,YES,Original harvest location (required for origin tracking),YES (GeographicData)
TraceableUnit,harvesterId,string,YES,Organization that performed the harvest,YES (Organization)
TraceableUnit,operatorId,string,NO,Individual operator who handled the unit,YES (Operator)
TraceableUnit,materialTypeId,string,YES,Type of material (wood species category),YES (Material)
TraceableUnit,identificationMethodId,string,NO,Method used for identification (RFID QR barcode biometric),YES (IdentificationMethod)
,,,,,
BiometricIdentifier,biometricId,string,YES,Unique identifier for biometric signature,NO
BiometricIdentifier,biometricSignature,string,YES,Unique biometric pattern data,NO
BiometricIdentifier,captureMethod,enum,YES,How biometric was captured (optical_scanner photo_analysis manual_photo visual_inspection),NO
BiometricIdentifier,confidenceScore,number,YES,Confidence in biometric match (0-100),NO
BiometricIdentifier,fallbackRequired,boolean,YES,Whether fallback identification is needed,NO
BiometricIdentifier,captureTimestamp,date-time,YES,When biometric was captured,NO
BiometricIdentifier,captureConditions,string,NO,Environmental conditions during capture,NO
BiometricIdentifier,deviceType,string,NO,Type of capture device used,NO
BiometricIdentifier,deviceSerialNumber,string,NO,Serial number of capture device,NO
