Entity Name,Field Name,Type,Required,Description,Foreign Key,CA-GREET Role,CA-GREET Context
,,,,,,,
--- CORE TRACEABILITY ENTITIES ---,,,,,,,
,,,,,,,
TraceableUnit,traceableUnitId,string,YES,Unique identifier for the fundamental traceability unit,NO,None,-
TraceableUnit,uniqueIdentifier,string,YES,Business identifier (log number tag barcode QR code),NO,None,-
TraceableUnit,unitType,enum,YES,Type of traceable unit (individual_log pile volume_aggregation processed_batch),NO,None,-
TraceableUnit,totalVolumeM3,number,YES,Total volume in cubic meters,NO,Input,Feedstock volume input required for GREET Tier 1 calculations
TraceableUnit,isMultiSpecies,boolean,YES,Whether unit contains multiple wood species,NO,None,-
TraceableUnit,createdTimestamp,date-time,YES,When the traceable unit was first created,NO,None,-
TraceableUnit,productClassification,enum,NO,Product type (sawlog pulpwood biomass chips firewood veneer_log post_pole),NO,None,-
TraceableUnit,qualityGrade,enum,NO,Quality classification (Grade-A through Grade-D Premium Standard),NO,None,-
TraceableUnit,identificationConfidence,number,NO,Confidence score for identification (0-100),NO,None,-
TraceableUnit,methodReadinessLevel,integer,NO,Technology Readiness Level for identification method (1-9),NO,None,-
TraceableUnit,secondaryIdentifiers,array,NO,Additional identification methods and values,NO,None,-
TraceableUnit,physicalArrangement,object,NO,Storage arrangement (type exposure ground contact),NO,None,-
TraceableUnit,alternativeFateMetrics,object,NO,Alternative baseline scenario metrics (decay rate carbon impact),NO,Potential Input,Avoided emissions and baseline scenario data for counterfactual modeling
TraceableUnit,currentStatus,enum,NO,Current state (active processed delivered consumed),NO,None,-
TraceableUnit,sustainabilityCertification,string,NO,Certification status or reference,NO,None,-
TraceableUnit,attachedInformation,array,NO,Additional metadata or documentation references,NO,None,-
TraceableUnit,lastUpdated,date-time,NO,Timestamp of last modification,NO,None,-
TraceableUnit,harvestGeographicDataId,string,YES,Original harvest location (required for origin tracking),YES (GeographicData),Potential Input,Origin coordinates used to calculate transport distance for GREET
TraceableUnit,harvesterId,string,YES,Organization that performed the harvest,YES (Organization),None,-
TraceableUnit,materialTypeId,string,YES,Type of material (wood species category),YES (Material),Potential Input,Links to material properties (moisture energy content) for GREET
TraceableUnit,processingHistory,array,NO,Array of processing operation references,YES (ProcessingHistory),None,-
TraceableUnit,parentTraceableUnitId,string,NO,Reference to parent unit for splits/transformations,YES (TraceableUnit),None,-
TraceableUnit,childTraceableUnitIds,array,NO,References to child units created from splits,YES (TraceableUnit),None,-
TraceableUnit,currentGeographicDataId,string,NO,Current location of the traceable unit,YES (GeographicData),Potential Input,Destination coordinates for transport distance calculation in GREET
TraceableUnit,operatorId,string,NO,Individual operator who handled the unit,YES (Operator),None,-
TraceableUnit,identificationMethodId,string,NO,Method used for identification (RFID QR barcode biometric),YES (IdentificationMethod),None,-
,,,,,,,
BiometricIdentifier,biometricId,string,YES,Unique identifier for biometric signature,NO,None,-
BiometricIdentifier,biometricSignature,string,YES,Unique biometric pattern data,NO,None,-
BiometricIdentifier,captureMethod,enum,YES,How biometric was captured (optical_scanner photo_analysis manual_photo visual_inspection),NO,None,-
