Category,BOOST Entity,BOOST Field,GREET Model Input Category,GREET Parameter/Input,Mapping Type,Notes,Data Flow Direction,Required for LCFS Pathway,Example BOOST Value,Example GREET Usage
LCFS Pathway Core,LCFSPathway,pathwayId,Pathway Identification,CARB Pathway ID,Direct Match,Official CARB-assigned pathway identifier,BOOST stores GREET output,Yes,CA-RD-2025-LMR-001,Pathway certification reference
LCFS Pathway Core,LCFSPathway,carbonIntensity,Carbon Intensity Results,Final CI Value (gCO2e/MJ),Output from GREET,This is the OUTPUT of GREET modeling - not an input,GREET → BOOST,Yes,19.85,Final certified CI for credit calculations
LCFS Pathway Core,LCFSPathway,caGreetVersion,Model Metadata,CA-GREET Version,Direct Match,Tracks which GREET version was used,GREET → BOOST,Yes,3.0,Model version for reproducibility
LCFS Pathway Core,LCFSPathway,feedstockCategory,Feedstock Inputs,Biomass Feedstock Type,Direct Match,Maps to GREET feedstock categories,BOOST → GREET,Yes,logging_and_mill_residue,Feedstock classification in GREET model
LCFS Pathway Core,LCFSPathway,fuelProduct,Fuel Production,Final Fuel Product,Direct Match,Output fuel type from production process,GREET output,Yes,renewable_diesel,Product classification in GREET
LCFS Pathway Core,LCFSPathway,energyEconomyRatio,Credit Calculation,EER Multiplier,Direct Match,Used in LCFS credit calculations,GREET output,Yes,1.0,Energy economy ratio for EVs/advanced fuels
LCFS Pathway Core,LCFSPathway,facilityLocation,Production Facility,Facility Geographic Location,Partial Match,Used for transport distance calculations,BOOST → GREET,Yes,"Stockton, CA",Regional energy grid and transport modeling
LCFS Pathway Core,LCFSPathway,pathwayType,Pathway Classification,Tier Classification,Direct Match,Lookup Table / Tier 1 / Tier 2,CARB administrative,Yes,Tier_1,Determines calculation methodology
LCFS Pathway Core,LCFSPathway,certificationDate,Pathway Metadata,Certification Date,Metadata,Regulatory compliance tracking,CARB administrative,Yes,2025-01-15,Pathway validity period
LCFS Pathway Core,LCFSPathway,verificationStatus,Pathway Metadata,Active/Suspended Status,Metadata,Current regulatory status,CARB administrative,Yes,active,Pathway eligibility check
LCFS Reporting,LCFSReporting,reportingPeriod,Reporting Metadata,Quarterly Period,Metadata,Aggregation timeframe,CARB administrative,Yes,2025-Q1,Quarterly reporting requirement
LCFS Reporting,LCFSReporting,totalFuelVolume,Volume Aggregation,Total Fuel Volume (gallons),Aggregated Transaction Data,Sum of all transactions in period,Calculated from transactions,Yes,5075000.0,Total volume for credit calculation
LCFS Reporting,LCFSReporting,totalCreditsGenerated,Credit Calculation Results,LCFS Credits Generated,Calculated Output,Result of (Benchmark CI - Pathway CI) × Volume × EER,Calculated from pathway + transactions,Yes,54580477.10,Total credits for compliance
LCFS Reporting,LCFSReporting,pathwaySummary,Pathway Breakdown,Activity by Pathway,Aggregated Data,Groups transactions by pathway for reporting,Aggregated from transactions,Yes,Array of pathway summaries,Breakdown by feedstock type
LCFS Reporting,LCFSReporting,calculationParameters,Credit Calculation Inputs,Conversion Factors & Benchmarks,Metadata,Energy conversion (MJ/gallon) and regulatory benchmarks,GREET/CARB standards,Yes,"conversionFactor: 138.7, benchmark: 98.47",Used in credit calculations
LCFS Reporting,LCFSReporting,regulatedEntityId,Entity Identification,Reporting Organization,Metadata,Organization submitting the report,BOOST Organization entity,Yes,pacific-renewable-fuels-001,Entity registration in AFP
