Entity,Field,Type,Required,BOOST Description,Match Status,Real BioRAM Source,Source URL,Notes
BioramPathway,pathwayId,string,Yes,BioRAM pathway identifier (primary key),No Match,N/A - BOOST internal construct,N/A,BioRAM program doesn't use pathway IDs like LCFS; contracts are per-facility not per-pathway
BioramPathway,fuelType,string (enum),Yes,BioRAM eligible fuel type classification,Partial,SB 859 / SB 901 fuel definitions,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Real categories: HHZ fuel (Tier 1/2) vs non-HHZ; byproduct of sustainable forestry management
BioramPathway,targetFacilityType,string (enum),Yes,Type of facility this pathway applies to,Partial,CPUC BioRAM Program,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,BioRAM focuses on biomass power plants; facility types defined in RFO documents
BioramPathway,efficiencyStandard,number,Yes,Minimum efficiency requirement for BioRAM eligibility (fraction),Partial,SDG&E Project Description Form Section C,PDF - SDG&E BioRAM Advice Letter 2878-E-A,Form asks for Capacity Factor not efficiency standard; efficiency is facility-specific
BioramPathway,carbonIntensity,number,Yes,Carbon intensity in gCO2e/MJ for biomass fuel,No Match,N/A,N/A,BioRAM is RPS program not LCFS; CI values not tracked in BioRAM compliance
BioramPathway,geographicScope,string (enum),Yes,Geographic applicability within State Responsibility Areas,Yes,CAL FIRE SRA / CPUC Fire-Threat Maps,https://www.cpuc.ca.gov/industries-and-topics/wildfires/fire-threat-maps-and-fire-safety-rulemaking,State Responsibility Areas (SRA) are real CAL FIRE designations
BioramPathway,fireHazardZoneEligibility,array<string>,No,Eligible CAL FIRE hazard severity zones,Yes,CAL FIRE FHSZ Maps / SB 859,https://osfm.fire.ca.gov/what-we-do/community-wildfire-preparedness-and-mitigation/fire-hazard-severity-zones,Real zones: Very High / High / Moderate; also Tier 1/2/3 HHZ from tree mortality maps
BioramPathway,certificationDate,string (date),Yes,CEC BioRAM pathway certification date,Partial,CEC RPS Certification,https://www.energy.ca.gov/programs-and-topics/programs/renewables-portfolio-standard,CEC certifies facilities for RPS not pathways; certification is per-facility
BioramPathway,expirationDate,string (date),No,Pathway certification expiration date,Partial,BioRAM Contract Terms,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Contracts have end dates (extended via Resolution E-5288 for contracts expiring before 12/31/2028)
BioramPathway,eligibilityStatus,string (enum),Yes,Current CEC eligibility status,Partial,CEC RPS Certification Status,https://www.energy.ca.gov/programs-and-topics/programs/renewables-portfolio-standard,Facilities have RPS certification status not pathways
BioramPathway,cecVersion,string,No,CEC BioRAM program version used for certification,Partial,SB 859 / SB 901 / SB 1109 amendments,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Program versions tied to legislation (SB 859 original; SB 901 2018; SB 1109 2022)
BioramPathway,haulDistanceLimit,number,No,Maximum economical haul distance in miles,Partial,HHZ Fuel Availability Study,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Economic haul distances studied but not codified as pathway limits
BioramPathway,seasonalAvailability,object,No,Seasonal fuel availability characteristics,Partial,HHZ Fuel Availability Study,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,Fuel availability varies seasonally; studied in CPUC HHZ Fuel Availability Study
BioramPathway,sourceRegion,string,No,Primary source region or forest management unit,Yes,CAL FIRE Tree Mortality HHZ Map / Tier definitions,https://osfm.fire.ca.gov/what-we-do/community-wildfire-preparedness-and-mitigation/fire-hazard-severity-zones,Real regions: Sierra Nevada 10 High Priority Counties etc.
BioramPathway,@id,string (uri),Yes,Unique URI identifier for JSON-LD,No Match,N/A - BOOST internal construct,N/A,JSON-LD identifier for BOOST system
BioramPathway,lastUpdated,string (date-time),No,Timestamp of most recent pathway data update,No Match,N/A - BOOST internal construct,N/A,Internal tracking field
BioramReporting,reportingId,string,Yes,Unique identifier for quarterly BioRAM report (primary key),Partial,IOU Quarterly Reports,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,IOUs collect quarterly data; format not standardized publicly
BioramReporting,facilityEntityId,string (FK),Yes,Reference to biomass facility Organization entity,Yes,IOU BioRAM Facility List,https://www.cpuc.ca.gov/industries-and-topics/electrical-energy/electric-power-procurement/rps/rps-procurement-programs/rps-bioram,IOUs file Tier 2 Advice Letters with facility name/city/MW
BioramReporting,bioramContractId,string,No,BioRAM contract identifier from competitive procurement,Yes,BioRAM RFO Contracts,https://www.sce.com/about-sce/energy-procurement/solicitations/bioram-rfo,Contracts awarded via RFO process (e.g. BR-RFO-2024-01)
